r_id,hour,gen
9,2430,0.0
10,2430,0.0
11,2430,0.0
12,2430,0.0
13,2430,0.0
20,2430,0.0
21,2430,0.0
22,2430,0.0
23,2430,0.0
24,2430,0.0
25,2430,0.0
26,2430,0.0
27,2430,0.0
28,2430,0.0
29,2430,0.0
30,2430,0.0
34,2430,0.0
35,2430,0.0
36,2430,0.0
38,2430,0.0
3,2431,1.0
4,2431,1.0
5,2431,1.0
6,2431,1.0
7,2431,0.0
8,2431,1.0
9,2431,0.0
10,2431,0.0
11,2431,0.0
12,2431,0.0
13,2431,0.0
20,2431,0.0
21,2431,0.0
22,2431,0.0
23,2431,0.0
24,2431,0.0
25,2431,0.0
26,2431,0.0
27,2431,0.0
28,2431,0.0
29,2431,0.0
30,2431,0.0
34,2431,0.0
35,2431,0.0
36,2431,0.0
38,2431,0.0
3,2432,1.0
4,2432,1.0
5,2432,1.0
6,2432,1.0
7,2432,0.0
8,2432,0.0
9,2432,0.0
10,2432,0.0
11,2432,0.0
12,2432,0.0
13,2432,0.0
20,2432,0.0
21,2432,0.0
22,2432,0.0
23,2432,0.0
24,2432,0.0
25,2432,0.0
26,2432,0.0
27,2432,0.0
28,2432,0.0
29,2432,0.0
30,2432,0.0
34,2432,0.0
35,2432,0.0
36,2432,0.0
38,2432,0.0
3,2433,1.0
4,2433,1.0
5,2433,1.0
6,2433,1.0
7,2433,0.0
8,2433,0.0
9,2433,0.0
10,2433,0.0
11,2433,0.0
12,2433,0.0
13,2433,0.0
20,2433,0.0
21,2433,0.0
22,2433,0.0
23,2433,0.0
24,2433,0.0
25,2433,0.0
26,2433,0.0
27,2433,0.0
28,2433,0.0
29,2433,0.0
30,2433,0.0
34,2433,0.0
35,2433,0.0
36,2433,0.0
38,2433,0.0
3,2434,1.0
4,2434,1.0
5,2434,1.0
6,2434,1.0
7,2434,0.0
8,2434,0.0
9,2434,0.0
10,2434,0.0
11,2434,0.0
12,2434,0.0
13,2434,0.0
20,2434,0.0
21,2434,0.0
22,2434,0.0
23,2434,0.0
24,2434,0.0
25,2434,0.0
26,2434,0.0
27,2434,0.0
28,2434,0.0
29,2434,0.0
30,2434,0.0
34,2434,0.0
35,2434,0.0
36,2434,0.0
38,2434,0.0
3,2435,1.0
4,2435,1.0
5,2435,1.0
6,2435,1.0
7,2435,0.0
8,2435,0.0
9,2435,0.0
10,2435,0.0
11,2435,0.0
12,2435,0.0
13,2435,0.0
20,2435,0.0
21,2435,0.0
22,2435,0.0
23,2435,0.0
24,2435,0.0
25,2435,0.0
26,2435,0.0
27,2435,0.0
28,2435,0.0
29,2435,0.0
30,2435,0.0
34,2435,0.0
35,2435,0.0
36,2435,0.0
38,2435,0.0
3,2436,1.0
4,2436,1.0
5,2436,1.0
6,2436,1.0
7,2436,0.0
8,2436,0.0
9,2436,0.0
10,2436,0.0
11,2436,0.0
12,2436,0.0
13,2436,0.0
20,2436,0.0
21,2436,0.0
22,2436,0.0
23,2436,0.0
