MSN,YYYYMM,Value,Column_Order,Description,Unit
RERCBUS,200204,36.764,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200205,38.321,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200206,37.299,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200207,38.628,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200208,38.571,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200209,37.024,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200210,37.654,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200211,35.774,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200212,36.655,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200301,37.86,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200302,34.682,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200303,39.21,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200304,38.501,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200305,40.106,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200306,39.02,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200307,40.404,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200308,40.349,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200309,38.754,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200310,39.459,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200311,37.54,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200312,38.489,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200401,38.654,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200402,36.55,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200403,39.984,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200404,39.241,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200405,40.866,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200406,39.752,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200407,41.159,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200408,41.105,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200409,39.49,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200410,40.229,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200411,38.294,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200412,39.273,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200501,40.545,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200502,37.089,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200503,41.843,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200504,41.027,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200505,42.704,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200506,41.526,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200507,42.99,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200508,42.937,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200509,41.27,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200510,42.082,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200511,40.104,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200512,41.15,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200601,36.61,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200602,33.553,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200603,37.96,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200604,37.291,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200605,38.855,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200606,37.809,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200607,39.153,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200608,39.098,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200609,37.543,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200610,38.209,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200611,36.33,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200612,37.239,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200701,40.434,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200702,37.027,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200703,41.839,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200704,41.067,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200705,42.771,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200706,41.607,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200707,43.08,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200708,43.023,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200709,41.33,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200710,42.098,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200711,40.068,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200712,41.089,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200801,45.071,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
