r_id,hour,gen
12,2430,0.0
13,2430,0.0
20,2430,0.0
21,2430,0.0
22,2430,0.0
23,2430,0.0
24,2430,0.0
25,2430,0.0
26,2430,0.0
27,2430,0.0
28,2430,0.0
29,2430,0.0
30,2430,0.0
31,2430,118.72255999999999
32,2430,3.184932
33,2430,0.0
34,2430,0.0
35,2430,0.0
36,2430,0.0
37,2430,0.0
38,2430,0.0
39,2430,0.0
40,2430,0.0
41,2430,0.0
42,2430,0.0
1,2431,21.4
2,2431,42.00000000000003
3,2431,607.1
4,2431,16.5
5,2431,33.85466799999995
6,2431,570.0
7,2431,0.0
8,2431,149.856
9,2431,0.0
10,2431,0.0
11,2431,0.0
12,2431,0.0
13,2431,0.0
20,2431,0.0
21,2431,0.0
22,2431,0.0
23,2431,0.0
24,2431,0.0
25,2431,0.0
26,2431,0.0
27,2431,0.0
28,2431,0.0
29,2431,0.0
30,2431,0.0
31,2431,129.2544
32,2431,3.184932
33,2431,731.85
34,2431,0.0
35,2431,0.0
36,2431,0.0
37,2431,0.0
38,2431,0.0
39,2431,0.0
40,2431,0.0
41,2431,0.0
42,2431,0.0
1,2432,21.4
2,2432,42.00000000000007
3,2432,251.3009079999997
4,2432,16.5
5,2432,24.7
6,2432,570.0
7,2432,0.0
8,2432,0.0
9,2432,0.0
10,2432,0.0
11,2432,0.0
12,2432,0.0
13,2432,0.0
20,2432,0.0
21,2432,0.0
22,2432,0.0
23,2432,0.0
24,2432,0.0
25,2432,0.0
26,2432,0.0
27,2432,0.0
28,2432,0.0
29,2432,0.0
30,2432,0.0
31,2432,116.76415999999999
32,2432,3.184932
33,2432,1529.15
34,2432,0.0
35,2432,0.0
36,2432,0.0
37,2432,0.0
38,2432,0.0
39,2432,0.0
40,2432,0.0
41,2432,0.0
42,2432,0.0
1,2433,21.4
2,2433,41.99999999999986
3,2433,219.7702
4,2433,16.5
5,2433,24.7
6,2433,351.5916680000005
7,2433,0.0
8,2433,0.0
9,2433,0.0
10,2433,0.0
11,2433,0.0
12,2433,0.0
13,2433,0.0
20,2433,0.0
21,2433,0.0
22,2433,0.0
23,2433,0.0
24,2433,0.0
25,2433,0.0
26,2433,0.0
27,2433,0.0
28,2433,0.0
29,2433,0.0
30,2433,0.0
31,2433,80.4032
32,2433,3.184932
33,2433,2067.45
34,2433,0.0
35,2433,0.0
36,2433,0.0
37,2433,0.0
38,2433,0.0
39,2433,0.0
40,2433,0.0
41,2433,0.0
42,2433,0.0
1,2434,21.4
2,2434,42.00000000000003
3,2434,219.7702
4,2434,16.5
5,2434,24.7
6,2434,363.21950800000013
7,2434,0.0
8,2434,0.0
9,2434,0.0
10,2434,0.0
11,2434,0.0
